,City1,City2,Distance (km)
1594301,280030,110002,2840.9975625875936
3920030,530010,110003,1381.2706957433395
3920067,530010,110004,1539.0686201896951
4941413,500270,110005,1041.5949662443747
4941506,500270,110006,1029.7891696886138
4941617,500270,110007,1067.0949464019538
4941622,500270,110008,1356.1671945319147
7192793,510340,110009,699.1689856268235
7193077,510340,110010,1133.338947095336
7193641,510340,110011,898.8557029104153
7193671,510340,110012,821.2332716589402
7193934,510340,110013,936.1115283297846
7194394,510340,110014,797.8338075375773
7194577,510340,110015,859.8594632767614
7194882,510340,110018,703.2133125729669
11907486,130260,110020,759.9108386875911
14241687,110020,110025,346.03252162582334
14241859,110020,110026,151.38061193466208
14241924,110020,110028,403.7654237903966
14242082,110020,110029,419.88215329243087
7196609,510340,110030,539.6372521407116
14242502,110020,110032,350.9470983680549
11906852,130260,110033,1000.3301574219555
3369705,140010,110045,1489.1603295307657
7194498,510340,110050,771.0053095816093
3369730,140010,110060,1485.3938458920238
4941171,500270,110070,1460.3501235470078
3369909,140010,110080,1334.3068942736097
4941361,500270,110090,1271.7722183734336
4941457,500270,110092,1101.570210334511
7192587,510340,110094,988.4015815712543
7193039,510340,110100,908.102131380435
7193487,510340,110110,1047.9239139033825
7194165,510340,110120,763.820181030522
7194184,510340,110130,873.9825469499442
11906664,130260,110140,870.7514514216883
7194477,510340,110143,872.2483593008978
7194704,510340,110145,705.8096722586836
7194884,510340,110146,582.4730562958623
14241698,110020,110147,443.1387811839701
14242286,110020,110148,436.783103719396
14242311,110020,110149,367.76326619408457
14242647,110020,110150,352.02999374070936
14242852,110020,110155,299.7815368815338
14242885,110020,110160,236.86990511317939
14243066,110020,110170,312.20588760094506
14243074,110020,110175,224.27635473079414
14243075,110020,110180,269.3794878445077
1594330,280030,120005,3547.3090306577933
3369647,140010,120010,1777.3983239435486
3369690,140010,120013,1620.2720940390495
3369976,140010,120017,1678.9602891973188
3370379,140010,120020,1767.2128491796543
7192770,510340,120025,1458.6996683948266
3370650,140010,120030,1626.6513452943857
3371502,140010,120032,1829.19713967008
11906395,130260,120033,1510.544291204055
11906409,130260,120034,1203.5429724241358
11906455,130260,120035,1553.6037921297618
11907382,130260,120038,1118.4440509015087
14241639,110020,120039,975.1992988742834
14241852,110020,120040,451.21629614686526
14562356,120040,120042,586.6724639852583
14562569,120040,120043,298.03585037328
14563065,120040,120045,21.68963840981275
14563057,120040,120050,136.22635557206598
14563272,120040,120060,381.62276567051083
14563655,120040,120070,105.23565062391006
11907455,130260,120080,1098.8676301788007
1594338,280030,130020,3719.7903351277964
1594356,280030,130030,2563.9006075495995
1594423,280030,130040,3062.2398921214344
1594463,280030,130050,2383.155831239407
3062131,150140,130060,2414.1940007961657
3062146,150140,130063,1455.1883411401598
3369544,140010,130068,730.370236614382
3369548,140010,130070,1486.0828313083555
3369621,140010,130080,811.3683452195887
3369710,140010,130083,685.333957123696
3369940,140010,130090,1118.6525256522687
3369993,140010,130100,1101.653996131057
3370004,140010,130110,733.7724470560505
3370005,140010,130115,693.7472954343953
3370180,140010,130120,816.6961664607179
3370188,140010,130130,755.894956733192
3370537,140010,130140,1467.0424708440505
3370571,140010,130150,1542.370597111723
3370710,140010,130160,846.3690388812219
3370878,140010,130165,1753.6186929371288
7193163,510340,130170,1174.2312511873156
3371133,140010,130180,1643.215421328491
3371159,140010,130185,680.2783284728266
3371194,140010,130190,707.8233235039926
3371230,140010,130195,1329.1856901361082
3371273,140010,130200,685.1009685172348
3371424,140010,130210,870.1227581640231
3371548,140010,130220,922.8874347848904
3371558,140010,130230,917.9253262645998
3371562,140010,130240,1211.2998898818591
3371775,140010,130250,679.9275737362456
3371777,140010,130255,697.0002375371006
3371779,140010,130260,664.7631001555966
11906406,130260,130270,330.09975936739056
11906419,130260,130280,632.5883296252057
11906537,130260,130290,258.74801475455433
11906770,130260,130300,381.34567405109954
11906866,130260,130310,134.70361958403777
11906902,130260,130320,115.60573106477003
11906904,130260,130330,226.5863351180763
11907124,130260,130340,369.5083913337393
11907170,130260,130350,925.266769812742
11907528,130260,130353,121.07484250455644
11907748,130260,130356,59.22953343888428
3373305,140010,130360,601.1977154158415
14562649,120040,130370,765.0896278431793
3373554,140010,130380,783.907113957927
14562950,120040,130390,733.869145308893
11908413,130260,130395,246.54269494518277
11908561,130260,130400,199.73374998441656
14563206,120040,130406,678.821776549555
14242809,110020,130410,358.04017957483757
11908697,130260,130420,522.3048766785556
14242918,110020,130423,784.1331798639881
11908854,130260,130426,565.5733519502071
11908909,130260,130430,260.2020857157593
11908913,130260,130440,207.80604757444894
3062171,150140,140010,1435.698105890928
3369601,140010,140015,110.97741865087025
3369932,140010,140017,25.005907490919103
3369980,140010,140020,121.76450115286848
3370039,140010,140023,241.58540952046283
3371150,140010,140028,82.04776745783805
3372096,140010,140030,49.9918625758466
3372170,140010,140040,166.26036058214206
3372392,140010,140045,191.46124413099238
3373170,140010,140047,211.11927380460938
3373581,140010,140050,224.74097977334017
3373710,140010,140060,213.59961789328446
3374257,140010,140070,205.29559814195946
1594344,280030,150090,1520.9906625841286
1594354,280030,150095,1513.8026415036554
1594360,280030,150100,2169.3374630029775
1594373,280030,150110,1761.8598626622947
1594377,280030,150120,1657.4302666373846
1594405,280030,150125,1515.570358437979
1594421,280030,150130,1648.8319017796452
1594500,280030,150140,1641.8320402316242
3062126,150140,150145,728.3994989155027
3062130,150140,150150,29.29972656207649
3062220,150140,150157,399.06005260978304
3062244,150140,150160,131.88898466943027
3062272,150140,150170,194.7804114359526
3062277,150140,150172,493.79664616269594
3062304,150140,150175,471.86251086073827
3062308,150140,150178,284.32047911150426
3062309,150140,150180,222.52751186827038
3062326,150140,150190,50.68426380089895
3062375,150140,150195,218.7005762297405
3062374,150140,150200,71.05468289525875
3062461,150140,150210,142.20028552596906
3062530,150140,150215,581.2960924743765
3062576,150140,150220,148.47618332419384
3062606,150140,150230,161.90132309537148
3062699,150140,150240,66.06869272551403
3062789,150140,150250,219.82821917352643
3062829,150140,150260,62.23022430396296
3062863,150140,150270,761.6893881397918
3062877,150140,150275,85.26118562807117
3063027,150140,150276,750.48211391414
3063036,150140,150277,531.0723959372563
3063046,150140,150280,150.4090721183794
3063048,150140,150285,738.1403289683238
3063049,150140,150290,107.16477066309655
3063123,150140,150293,313.9404701844008
3063175,150140,150295,525.7283887914518
3370635,140010,150300,706.6900213061706
3063335,150140,150304,691.4620501055705
3063417,150140,150307,168.44755805773698
3063455,150140,150309,273.9727407000347
3063578,150140,150310,349.51735168657257
3063675,150140,150320,102.7982853902631
3063676,150140,150330,77.74688381568404
3063736,150140,150340,64.33508390239508
3063769,150140,150345,164.43340330732028
3063806,150140,150350,121.17315460046295
3063853,150140,150360,889.8624740405155
3063975,150140,150370,419.5422736520665
3371367,140010,150375,1056.0678040650241
3064014,150140,150380,339.73333561493797
3371551,140010,150390,753.294062055632
3064307,150140,150400,111.55790555019362
3064382,150140,150405,123.08230863017661
3064385,150140,150410,122.51920746459864
3064440,150140,150420,442.2715964213198
3064446,150140,150430,137.73189597929033
3064455,150140,150440,120.11255703251103
3064500,150140,150442,19.546114607058964
11760180,160030,150445,436.6580650396231
11760183,160030,150450,208.15637242813867
3064632,150140,150460,168.61359690885138
3064643,150140,150470,57.29286389322648
11760257,160030,150475,499.02433071518277
11760274,160030,150480,403.163060912026
3064730,150140,150490,81.96698833191196
3064846,150140,150495,191.19367683440797
3064864,150140,150497,390.4038132347521
3064910,150140,150500,125.06999463757668
11906926,130260,150503,681.5744018749318
3064947,150140,150506,350.2544605906205
11906936,130260,150510,517.9404340947168
3064960,150140,150520,164.32408329875526
11906968,130260,150530,486.5600375989236
3065002,150140,150540,153.38559321592115
3065005,150140,150543,655.610281561616
3065025,150140,150548,356.46444298191693
3065050,150140,150549,476.8364905207243
3065098,150140,150550,213.4046135992126
13431999,172100,150553,494.20935688071285
3065185,150140,150555,174.45519503136128
3065258,150140,150560,132.82023709201422
13432164,172100,150563,426.57754995527404
11761014,160030,150565,557.0574642641952
3065438,150140,150570,42.35021193534879
11761085,160030,150580,220.95623689152276
11761098,160030,150590,236.81500136791018
11761145,160030,150600,336.51213422494203
3065567,150140,150610,161.94391002798582
3065591,150140,150611,175.38258333791674
13432505,172100,150613,307.39822851515663
13432619,172100,150616,374.34924480805347
3065802,150140,150618,372.4181317705481
11907800,130260,150619,577.6984224168351
3065846,150140,150620,156.72645932594233
3065864,150140,150630,77.5442718839061
3065883,150140,150635,40.49828413207126
3065908,150140,150640,116.79457835972975
3065942,150140,150650,40.61964488473867
3065955,150140,150655,176.7818289100582
13432827,172100,150658,214.5825154068564
3065970,150140,150660,102.73453591557488
13432897,172100,150670,240.89688182089665
11761666,160030,150680,488.3512411175111
3066054,150140,150690,135.91131632646912
3066097,150140,150700,52.19224977381323
3066133,150140,150710,94.20408030775857
3066147,150140,150715,454.7142283709344
3066149,150140,150720,84.44393958468869
13433027,172100,150730,565.4865659571705
3066184,150140,150740,83.85833000764305
13433057,172100,150745,428.1617626368093
3066224,150140,150746,91.95243765167575
3066233,150140,150747,163.73055559140255
3066235,150140,150750,435.84046649106335
3066371,150140,150760,113.78103797465363
3066419,150140,150770,118.64589502533367
13433324,172100,150775,394.88294363728744
3066501,150140,150780,467.3304156001631
3066620,150140,150790,80.6357091799996
3066655,150140,150795,173.40211562809688
3066743,150140,150796,80.83706779676606
11908732,130260,150797,408.3750466904436
3066787,150140,150800,113.29927803716642
3066797,150140,150803,181.35075101851092
11908780,130260,150805,480.5015287811907
13433701,172100,150808,496.10446559090525
3066840,150140,150810,288.77570723866666
3066895,150140,150812,278.30985567672457
11762538,160030,150815,511.7805429913883
3067031,150140,150820,76.74630839983608
15221960,211130,150830,255.06762215710933
11762682,160030,150835,340.4459598640588
13433956,172100,150840,390.5104505907714
11762144,160030,160005,141.67401233125014
11760834,160030,160015,128.10246023946087
3062433,150140,160020,518.4397994854153
3063054,150140,160021,372.53948581848925
3063309,150140,160023,394.41585629847543
3063952,150140,160025,335.72907337271806
3064272,150140,160027,446.4972503708019
3064360,150140,160030,331.24208413019926
11760176,160030,160040,29.47381960470923
11760574,160030,160050,431.60988106038
11761108,160030,160053,84.59438962845724
11761137,160030,160055,192.73272073445392
11761638,160030,160060,14.570890685008116
11762321,160030,160070,164.60544279159936
11762680,160030,160080,185.44512567724874
1594230,280030,170130,1325.600360320124
1594231,280030,170190,1387.8805641845595
